fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220616 191832	0	0	0	1	auto	depthwise	256	0	1	0.24168428297228	0.603160818888259	10	2	0.0198521274193754	60	12646000	31
20220616 195326	0	0	0	1	auto	depthwise	256	0	1	0.0100754157825135	0.557515238325368	9	26	0.0127641847058394	208	13444000	32
20220616 195520	0	0	0	1	auto	depthwise	256	0	1	0.140911246032783	0.462044153195197	9	2	0.0157421315203564	132	13122000	33
20220616 195635	0	0	0	1	auto	depthwise	256	0	1	0.299949998735565	0.657359202462004	6	2	0.0152257761797483	35	12656000	34
20220616 201303	0	0	0	1	auto	depthwise	256	0	1	0.0109040895134162	0.576282619525481	10	2	0.0165859091341776	1284	13060000	35
20220616 201506	0	0	0	1	auto	depthwise	256	0	1	0.106063768754314	0.662857333344058	9	2	0.0143398752188005	91	13191000	36
20220616 211443	0	0	0	1	auto	depthwise	256	0	1	0.0101504572659105	0.761240075591571	8	30	0.0153940544477947	368	12842000	37
20220616 213418	0	0	0	1	auto	depthwise	256	0	1	0.0100159127399076	0.216864085195789	9	21	0.0154622818958836	423	13282000	38
20220616 213625	0	0	0	1	auto	depthwise	256	0	1	0.235225120869524	0.996231990566729	5	2	0.0151803395462145	68	12943000	39
20220616 213745	0	0	0	1	auto	depthwise	256	0	1	0.193226241987573	0.527007431220543	10	2	0.00997555586867698	75	12292000	40
20220616 213908	0	0	0	1	auto	depthwise	256	0	1	0.230239585612662	0.696840961867443	6	2	0.0190230036570453	54	11818000	41
20220616 214109	0	0	0	1	auto	depthwise	256	0	1	0.299535118371835	0.998648828945985	4	3	0.0122438352828599	31	11533000	42
20220616 214240	0	0	0	1	auto	depthwise	256	0	1	0.225996011779117	0.616128051272219	10	2	0.0151822493325042	79	13230000	43
20220616 214432	0	0	0	1	auto	depthwise	256	0	1	0.184449088994444	0.984323863917951	10	2	0.0159766624458316	56	12937000	44
20220616 215332	0	0	0	1	auto	depthwise	256	0	1	0.018993693574763	0.580058771003519	4	2	0.0158365363497535	650	12926000	45
