fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220616 194233	0	0	0	1	hist	lossguide	256	0	1	0.0107855932387624	0.641640423440004	10	233	0.00837945006095764	58	12136000	21
20220616 194631	0	0	0	1	hist	lossguide	256	0	1	0.010028389112804	0.358645654026852	10	1023	0.0141585802321839	318	13339000	22
20220616 195030	0	0	0	1	hist	lossguide	256	0	1	0.0100282348498708	0.407360397581635	9	658	0.0138074639253929	303	13162000	23
20220616 195433	0	0	0	1	hist	lossguide	256	0	1	0.0101861482586911	0.741925886496584	10	1002	0.0153760981176531	300	13279000	24
20220616 195847	0	0	0	1	hist	lossguide	256	0	1	0.0102624391264307	0.999619069473672	4	470	0.00841118074682446	111	12386000	25
20220616 200228	0	0	0	1	hist	lossguide	256	0	1	0.010187689428592	0.5246584868477	10	756	0.0133864091743151	246	13447000	26
20220616 200605	0	0	0	1	hist	lossguide	256	0	1	0.0103559987605386	0.942689395049191	6	1024	0.0101051406030015	110	12676000	27
20220616 201042	0	0	0	1	hist	lossguide	256	0	1	0.0100902034119345	0.22233943557436	10	584	0.0140723655950517	518	13156000	28
20220616 201433	0	0	0	1	hist	lossguide	256	0	1	0.0100746399207666	0.981999085442296	7	457	0.0135572906213719	189	13196000	29
20220616 201823	0	0	0	1	hist	lossguide	256	0	1	0.0100115197555496	0.604963192309963	7	527	0.0118384799576026	201	13133000	30
20220616 202212	0	0	0	1	hist	lossguide	256	0	1	0.0101658307958474	0.96023130945471	10	612	0.0142895358811136	271	13594000	31
20220616 202456	0	0	0	1	hist	lossguide	256	0	1	0.010091487770846	0.913266516534671	6	2	0.00995716161096773	821	11055000	32
20220616 202841	0	0	0	1	hist	lossguide	256	0	1	0.0102143107694293	0.999500948530647	8	801	0.014525975437884	169	12948000	33
20220616 203236	0	0	0	1	hist	lossguide	256	0	1	0.0100105133096738	0.979686987060914	10	627	0.0176703369499187	267	12632000	34
20220616 203329	0	0	0	1	hist	lossguide	256	0	1	0.0582722302655787	0.87307997172861	10	557	0.01316779936713	36	13341000	35
20220616 203721	0	0	0	1	hist	lossguide	256	0	1	0.0106142356806888	0.983562503231731	4	1012	0.0136343848005178	88	12368000	36
20220616 204101	0	0	0	1	hist	lossguide	256	0	1	0.0101259168290111	0.99020830711048	10	1020	0.0121688510227314	216	13368000	37
20220616 204433	0	0	0	1	hist	lossguide	256	0	1	0.0100121910282877	0.806567733205863	10	608	0.0121934281075524	213	13400000	38
20220616 204839	0	0	0	1	hist	lossguide	256	0	1	0.0100121517498257	0.298437429786335	7	1020	0.0136934051400871	290	13324000	39
20220616 204949	0	0	0	1	hist	lossguide	256	0	1	0.0443013116877531	0.243652842551158	4	1010	0.00833791045627585	11	11931000	40
20220616 205229	0	0	0	1	hist	lossguide	256	0	1	0.0131699847862539	0.994057579377292	10	426	0.0135981323201557	131	13176000	41
20220616 205630	0	0	0	1	hist	lossguide	256	0	1	0.010437051705798	0.451171448091916	7	630	0.0147624131660991	265	13398000	42
20220616 205725	0	0	0	1	hist	lossguide	256	0	1	0.0712830936134284	0.700850831028732	7	690	0.0142795773804982	43	12297000	43
20220616 210200	0	0	0	1	hist	lossguide	256	0	1	0.0102981453687326	0.229861358241451	7	490	0.0138272158164802	407	13087000	44
20220616 210253	0	0	0	1	hist	lossguide	256	0	1	0.299531608694374	0.381427510229416	10	2	0.013890056433248	209	12957000	45
20220616 210319	0	0	0	1	hist	lossguide	256	0	1	0.299923860705849	0.421981767612533	10	494	0.0127707384910709	9	11535000	46
20220616 210400	0	0	0	1	hist	lossguide	256	0	1	0.160527824853997	0.351529900009953	10	2	0.014698436099765	243	12954000	47
20220616 210425	0	0	0	1	hist	lossguide	256	0	1	0.299809282756839	0.977536605363039	10	2	0.0146506619661797	106	12821000	48
20220616 210718	0	0	0	1	hist	lossguide	256	0	1	0.0100262815688432	0.383381675186492	8	13	0.0148251429890168	342	13528000	49
20220616 211115	0	0	0	1	hist	lossguide	256	0	1	0.0100328139536604	0.456304943073425	8	206	0.0148181586351874	291	13171000	50
20220616 211415	0	0	0	1	hist	lossguide	256	0	1	0.0101058429339375	0.382929390467292	7	1023	0.00834228705393793	57	12584000	51
20220616 211914	0	0	0	1	hist	lossguide	256	0	1	0.0128713801070538	0.473401338406966	9	2	0.0145959533710432	2145	13111000	52
20220616 212247	0	0	0	1	hist	lossguide	256	0	1	0.0101962717253457	0.901211525469205	10	661	0.0138162900457104	219	13600000	53
20220616 212638	0	0	0	1	hist	lossguide	256	0	1	0.0100245775505857	0.906866635656617	10	865	0.0137701052716697	262	13519000	54
20220616 212935	0	0	0	1	hist	lossguide	256	0	1	0.0102762181852716	0.4208457756392	7	11	0.0151102540199281	375	13487000	55
20220616 213320	0	0	0	1	hist	lossguide	256	0	1	0.0101302403243557	0.284801761451752	7	2	0.0189961194672754	1402	13007000	56
20220616 213355	0	0	0	1	hist	lossguide	256	0	1	0.285118015893246	0.997878409698169	3	1005	0.00833808111839372	16	8764000	57
20220616 213814	0	0	0	1	hist	lossguide	256	0	1	0.0100035971336662	0.512083076791756	3	546	0.0117711258099956	131	12797000	58
20220616 214146	0	0	0	1	hist	lossguide	256	0	1	0.0110583463097755	0.999902616888752	10	646	0.013501267148142	214	13373000	59
20220616 214805	0	0	0	1	hist	lossguide	256	0	1	0.0102943381295265	0.205514083356542	8	3	0.0149240149566514	2411	13270000	60
20220616 215317	0	0	0	1	hist	lossguide	256	0	1	0.0100132653927883	0.501575638927833	5	532	0.0143373269646774	414	12880000	61
20220616 215355	0	0	0	1	hist	lossguide	256	0	1	0.202965373408819	0.952029036684956	10	543	0.0142559074435148	19	11871000	62
20220616 215519	0	0	0	1	hist	lossguide	256	0	1	0.0483277405325756	0.871082993130129	10	2	0.0147905958541684	533	13218000	63
20220616 215924	0	0	0	1	hist	lossguide	256	0	1	0.0107610368937901	0.373838441627868	10	2	0.0146231881293126	1635	12885000	64
20220616 220143	0	0	0	1	hist	lossguide	256	0	1	0.012129128361776	0.677255614494332	10	1023	0.00833378216440166	33	12183000	65
20220616 220212	0	0	0	1	hist	lossguide	256	0	1	0.292322017057616	0.399509133585264	8	2	0.0155528041119635	148	13237000	66
20220616 220550	0	0	0	1	hist	lossguide	256	0	1	0.0100906069919695	0.859396880885606	10	596	0.0143575357156568	231	13435000	67
20220616 220630	0	0	0	1	hist	lossguide	256	0	1	0.262794995710876	0.621867123422853	10	2	0.014849219202886	186	13230000	68
20220616 220957	0	0	0	1	hist	lossguide	256	0	1	0.0106266539138782	0.936217310498369	10	607	0.0122425850956507	214	13477000	69
20220616 221028	0	0	0	1	hist	lossguide	256	0	1	0.299798754616265	0.658923682187258	9	2	0.0120934234902556	160	12738000	70
20220616 221122	0	0	0	1	hist	lossguide	256	0	1	0.0896642516357967	0.618129475150325	10	2	0.0139953944524697	312	13085000	71
