fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 120846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	999983	0.238836721583735	0.788749627387151	6396	811	0.00878811281290837	11283000	11
20220616 120857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	999983	0.11632534011174	0.820285053048283	4992	219	0.0306210996141696	11418000	12
20220616 120909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.129208551356453	0.279593881675974	5637	150	0.0133262709840589	12647000	13
20220616 120920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.21064154529653	0.398928059265018	3080	952	0.0444412010421123	8909000	14
20220616 120942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	999983	0.0491742083641002	0.88306680880487	2066	1007	0.0112735727224693	12905000	15
20220616 122425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	999983	0.268703095037723	0.55566334775649	7412	330	0.0321852227609876	10970000	16
20220616 122434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	999983	0.160100215075538	0.690634870333597	3343	524	0.021339690341362	12125000	17
20220616 122451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	999983	0.190571264000959	0.488410778827965	6452	109	0.0202301235432969	12729000	18
20220616 122505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	999983	0.126689554543234	0.620208990639076	2585	872	0.02364945156199	12217000	19
20220616 122514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.214563910512254	0.770735399071127	4151	998	0.0384948066450306	9021000	20
20220616 122536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	999983	0.0663625092935981	0.470538205355406	6261	278	0.0333385479714101	11103000	21
20220616 122556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	999983	0.104277700180421	0.417359504485503	1685	808	0.0464410656747835	7976000	22
20220616 122608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	999983	0.176310126446653	0.596807130500674	3886	147	0.0261817623705914	11952000	23
20220616 122623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	999983	0.0961692486178363	0.641767571205273	2287	486	0.0363648580110748	9685000	24
20220616 122726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	510	TRUE	999983	0.0200117651936598	0.280004704538733	6822	707	0.00880144518208302	11550000	25
20220616 122740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	999983	0.0751670247471193	0.986812013629824	5760	622	0.0409877591121282	9335000	26
20220616 122749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8	TRUE	999983	0.245699688725057	0.808163915406913	1311	728	0.01809208625394	11468000	27
