fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220620 223347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	50	TRUE	999983	0.115369684735115	0.406881611451237	1015	267	0.0225373001551611	35.7754981667539	56.1629373295921	12157000	32
20220620 223400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	64	TRUE	999983	0.200886184402114	0.3258087042813	3292	563	0.0166506339080919	5.89436433451578	72.2853781528339	13011000	33
20220620 223411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	63	TRUE	999983	0.149000258920879	0.201672192963282	1795	1500	0.0121229520580681	19.7530795968056	82.0764904300084	12182000	34
20220620 223423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	38	TRUE	999983	0.269623546304933	0.375878488195315	1630	400	0.0326492103714457	0.130826652166392	35.7239361548447	11094000	35
20220620 223436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	45	TRUE	999983	0.155563278201612	0.433497892596918	4461	1418	0.0216233024974996	0.13057164548109	73.990013643519	12908000	36
20220620 223448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	71	TRUE	999983	0.22127514390677	0.2023639272181	4623	712	0.0108295057492019	2.00742361451732	42.8057255755793	12769000	37
20220620 223500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	74	TRUE	999983	0.203254709338847	0.227573891770483	3805	1166	0.019587094748859	20.6888047992455	49.4940394386708	12732000	38
20220620 223507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	16	TRUE	999983	0.299385631060611	0.826056907038272	4049	607	0.0216225724936891	0.064502820538556	58.2793226643215	12826000	39
20220620 223555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	627	TRUE	999983	0.0100290572140859	0.700560755525039	2223	353	0.0188149820244374	51.1838677802806	44.6475941837268	11685000	40
20220620 223614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	40	TRUE	999983	0.121051840095643	0.407955670913099	3824	1338	0.0119888426285886	0.0303090729212917	4.43680281836986	13043000	41
20220620 223630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	84	TRUE	999983	0.17606338141577	0.464767311365208	3689	1138	0.0129082860711783	0.767653562058373	56.4674742961792	13698000	42
20220620 223645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	106	TRUE	999983	0.124261879357745	0.947184489054968	3488	1439	0.0138567700722683	0.0630422658305856	55.9450913465005	12840000	43
20220620 223717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	264	TRUE	999983	0.123987443274986	0.395489950143754	3724	1493	0.00834262011091806	0.00990079139542179	62.338500781577	11688000	44
20220620 223733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	999983	0.167828288809152	0.463829032403145	2975	970	0.0141405260228057	0.17113344005214	38.1634307361225	13278000	45
20220620 223751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	112	TRUE	999983	0.190554624594509	0.574315933026657	4959	1126	0.0144887732856974	0.150289402219241	43.2331064211783	13147000	46
20220620 223801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	43	TRUE	999983	0.299913250159983	0.544286347784643	3839	493	0.0134086260231801	25.9602758608624	6.41711126576328	11744000	47
20220620 223813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	50	TRUE	999983	0.239644231233687	0.787321615382684	1160	1087	0.0173736376258377	0.0112198318716538	99.6794361745605	13170000	48
20220620 223827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	52	TRUE	999983	0.276707723487541	0.522337886339297	1575	948	0.0145033720823822	1.82447953202473	71.8834990947732	12962000	49
20220620 223840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	54	TRUE	999983	0.121029299757991	0.622131914910975	1524	1267	0.0211726279904631	0.0593339888744957	87.1415220423745	12990000	50
