fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	max_depth	min_gain_to_split	ganancia	iteracion
20220620 205814	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	168	TRUE	999983	0.0741702998671131	0.470717482056099	7962	414	0.0155537573173771	0.850869562009745	34.8929017797808	80	0.208536073442152	13572000	104
20220620 205828	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	109	TRUE	999983	0.0874849612565437	0.698972187597662	7954	206	0.015328836881671	0.665321937677146	23.5203211671454	48	0.0454729397405715	13505000	105
20220620 205850	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	107	TRUE	999983	0.0717329709120946	0.482727490480757	7650	465	0.0158111162828554	0.176798681040292	13.7449476434264	61	0.0226298292037594	13430000	106
20220620 205905	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	63	TRUE	999983	0.174825622559355	0.544592710288216	7994	200	0.0161374648392817	1.3110717992609	21.4239251709601	90	0.0941391030777408	13527000	107
20220620 205924	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	110	TRUE	999983	0.115055654254849	0.455207737582208	7957	205	0.0162254440162194	1.66321246293154	46.3701514296361	59	0.0457376970512845	13563000	108
20220620 205955	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	234	TRUE	999983	0.0911042667201534	0.507323201448197	7403	200	0.0153004805190708	2.0322428152869	52.5977888781503	93	0.0608639921684299	13507000	109
20220620 210026	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	241	TRUE	999983	0.0858278737985969	0.455492853938283	7586	275	0.0209378620669813	0.519041598459761	35.2996614458301	91	0.0742260496782658	12968000	110
20220620 210044	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	97	TRUE	999983	0.152858016154129	0.474728699065448	7991	206	0.00851155087235097	0.0846870636979682	49.6702920834005	10	0.0106783256173524	11404000	111
20220620 210140	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	650	TRUE	999983	0.011207439074644	0.632222259402564	7615	951	0.017399637677081	5.16824850661559	54.20846147324	12	0.845026402771999	12676000	112
20220620 210151	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	31	TRUE	999983	0.259081110951038	0.268246096583031	7963	744	0.0159315102625781	0.310080492218595	40.8289503121349	56	0.0970664145669494	13269000	113
20220620 210201	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	34	TRUE	999983	0.289177656270116	0.37366162444573	7965	231	0.0153604098867848	0.905035907908883	25.1114989778958	69	0.658047054438866	12998000	114
20220620 210214	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	52	TRUE	999983	0.259197454035088	0.333042628221821	3174	1100	0.0151187918653899	2.80398608750614	99.8701736684561	10	0.0196172427246312	13242000	115
20220620 210226	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	67	TRUE	999983	0.256933547505899	0.236674323583356	5572	1202	0.0156174074982208	44.5780753647271	86.7382137791082	10	0.0106758281107731	11791000	116
20220620 210241	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	31	TRUE	999983	0.243927601508681	0.36655814360664	2560	1093	0.0155726909636662	2.27267792919908	32.7024085612357	10	1.49693414653714	12732000	117
20220620 210249	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	5	TRUE	999983	0.228215924477141	0.563421658515967	2722	1000	0.0111614488107175	4.02084386779034	99.8446831866546	36	9.42271904633009	12274000	118
20220620 210301	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	60	TRUE	999983	0.15271081218962	0.6005551085425	7704	431	0.0157623311726769	0.165634835664807	43.409148927181	61	0.772556376935953	13303000	119
20220620 210319	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	191	TRUE	999983	0.0410791601564342	0.776622139492732	2809	224	0.0143938233881632	1.07999189371001	96.218680922096	99	0.812450822132481	13227000	120
20220620 210329	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	26	TRUE	999983	0.226873462681607	0.392552888326238	7988	977	0.0164362575267171	0.0283130012448504	48.9346444797738	67	8.20135561657913	12050000	121
20220620 210345	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	44	TRUE	999983	0.0571805772357362	0.507664226840031	2595	929	0.0135973424282708	1.20177929586042	99.4081431358589	99	3.03166279847736	12632000	122
20220620 210408	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	198	TRUE	999983	0.0619272334604452	0.701451064980528	2384	248	0.0142417317764962	0.130040579473649	56.2956809941187	74	0.0135344508516634	13312000	123
20220620 210436	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	138	TRUE	999983	0.0511607427169496	0.564250715367101	2297	1048	0.0150114350568384	0.569797831339964	75.96902432497	10	0.0163419312126374	13347000	124
20220620 210448	binary	custom	TRUE	TRUE	FALSE	-100	999983	31	73	TRUE	999983	0.0436761462789199	0.90012927722219	2637	277	0.00833396488630834	94.9293536668194	87.1019473392601	98	0.0179072840508136	10903000	125
